Company,Title,Category,Location,Responsibilities,Minimum Qualifications,Preferred Qualifications
Google,"Data Analyst, Consumer Hardware",Product & Customer Support,"Mountain View, CA, United States","Build and maintain the Support Operations Analytics infrastructure.
Customize and maintain tools to provide insights and visibility into key strategic and operational performance of the organization.
Define and action analysis on operational data sets to provide strategic recommendations to multiple levels of leadership; package analysis for reports and presentations to shape strategic and operational decisions.
Draw insights from analyzing data to improve Support Operations quality and efficiency.
Contribute to strategic planning around product launches.","BA/BS degree in Computer Science, Engineering, Economics, Business or a related degree, or equivalent practical experience.
4 years of experience in an Analytical role such as Business Intelligence, Data Analytics, Statistical or Consulting.
4 years of experience with SQL or visualization tools such as Tableau.","Experience in designing and executing structured analysis, deriving business insights, and evaluating the impact of business decisions.
Experience working with and developing for non-technical users (defining requirements, explaining technical concepts to non-technical business users, etc).
Experience with scripting languages and business intelligence tools.
Demonstrated ability to analyze complex data-sets in a fast-paced environment, with the ability to work strategically and objectively.
Ability to deal with and prioritize multiple priorities while driving towards pragmatic decisions.
Excellent oral and written communication skills, with the ability to communicate findings in a structured and clear manner to a non-technical audience."
Google,Partner Onboarding Manager (Americas),Partnerships,"Seattle, WA, United States","Serve as point of contact for Partners and manage consistent and operationally efficient “Partner first” business practices to onboard and support our partners through their partnership lifecycle.
Understand and propose the necessary systems and process changes to reduce friction for our partners and Sales teams.
Contribute to the development of existing and future state Partner Onboarding activities and initiatives that develop ongoing touch points with Partners to increase their success with Google Cloud.
Promote new initiatives and offers proactively to our partners in a scalable fashion that energizes our partner ecosystem.","Bachelor's degree or equivalent practical experience.
5 years of experience in program management, partner development and/or channel sales roles in the business technology market.","Master's degree in technical field (Computer Science/Software Engineering) or an MBA.
10 years of partner programs experience at an Enterprise Software (or Cloud) company and experience with competitive partner programs.
Experience in transition channel models to include cloud, SaaS, Services and Advisory Programs.
Ability to collaborate and build relationships with individuals of varying levels of experience and department functions.
Passionate about the partners, possessing the drive to achieve quick results, and have the capacity to assume increasing responsibility in a highly successful, fast-paced global organization.
Exceptionally strong communication skills with the ability to effectively converse with partners, resolve conflict, deliver presentations, and design scalable email correspondence for partners."
Google,"Associate Account Strategist (Ukrainian), GMS Sales",Technical Solutions,"Dublin, Ireland","Implement creative ways to improve our customer relationships, tailor and share online marketing strategy suggestions, and promote other Google products.
Communicate with customers proactively, via phone and email.
Provide strategic advice and help our advertisers get the best experience from their investment by working with them in a consultative role.
Deliver consistently against strategic goals while prioritizing and delivering an outstanding customer sales experience to Google's advertisers.","Bachelor's degree or equivalent practical experience.
Experience or internship experience in sales, customer support, account management, marketing or consulting.
Ability to speak and write in English and Ukrainian fluently and idiomatically.","Experience in leading, motivating and working well with others. Demonstrated bias to teamwork.
Demonstrated record in managing and customizing experience to a customer base.
Ability to multi-task and manage multiple projects at a time while paying attention to detail.
Interest in working toward strategic goals.
Proactive, independent worker who is highly organized and interested in the difference they can make through their individual contribution."
Google,"Survey Lead, Google Cloud Support",Product & Customer Support,"New York, NY, United States","Develop and track core metrics across all Google Cloud products, including overall satisfaction, customer effort, net promoter score (NPS), partner satisfaction, etc.
Build and maintain reports, dashboards and metrics to monitor the performance of the program
Apply quantitative analysis, data mining and data presentation to provide meaningful business insights to stakeholders (with support from data scientists)
Provide insights that influence and drive actions/improvements across the customer journey
Demonstrate ability to manage risks at the operational level to ensure smooth execution of survey launches","BA/BS degree in a technical or quantitative/business-oriented field or equivalent practical experience.
5 years of experience in market research or survey analytics, working across multiple functional support and operational areas. Experience leading and delivering customer initiatives, including blending survey data with customer insights and measuring success using customer satisfaction metrics.
Experience writing SQL queries and working with statistical analysis in SPSS, R, Python and/or Tableau.
Experience with data analysis, principles of experiment design, survey design and analysis, clickstream analysis and qualitative research.","MBA, MS or PhD degree in a related or quantitative field.
Experience in a multi-channel client/customer support environment (e.g., email, phone, chat, social), and passion to drive collaboration and deliver executive-level presentations.
Capability to think strategically, balancing a broad range of internal and external factors when identifying problems, proposing solutions, and making decisions
Passion for technology and an ability to identify new opportunities, drive collaboration and deliver high-quality, complex projects across teams.
Demonstrated ability to build strong relationships at all levels as a cross-functional influencer.
Ability to consistently deliver quality outputs in a high paced and dynamic environment, work through ambiguity, with an ability to work to tight deadlines."
Google,"Solution Architect, Google Cloud Platform (Apigee)",Technical Solutions,"Amsterdam, Netherlands","Produce required design specifications, provide technical leadership and architectural mentorship and help customers build quality technical solutions/implementations with on-premises, cloud and hybrid cloud-based Apigee solution.
Work closely with geographically distributed Apigee and Customer project teams to align the technical requirements and the solution design with the customer's business drivers and in order to demonstrate our value.
Act as a liaison for the engineering and product teams to commercialize solutions with partners and customers.
Travel up to 50% of the time.","BA/BS degree in a technical or engineering field or equivalent practical experience.
Programming experience in one or more of the following: Java, Python, JavaScript, NodeJS, C#, NET, Ruby.
Ability to speak and write in English and German or French fluently and idiomatically.","Experience with or deep understanding of private, public and hybrid cloud design considerations and limitations in the areas of virtualization and global infrastructure, distributed systems, load balancing and networking, and security.
Experience in architecting and/or implementing API based solutions with sound hands-on familiarity with related standards such as HTTP, REST, SOAP and OAuth.
Ability to communicate effectively and influence stakeholders in internal and external engineering teams, product development teams, sales operations teams as well as external Google partners and end consumers.
Excellent presentation, verbal and written communication skills."
Google,Manufacturing Test Engineer,Hardware Engineering,"South San Francisco, CA, United States",,,
Google,"Machine Learning Product Specialist, Google Cloud (EMEA)",Technical Solutions,"Frankfurt, Germany","Work as part of the Sales team to identify and qualify Platform opportunities and determine if Google Cloud Platform is right for them. Identify business and technical requirements, conduct full technical discovery and architect client solutions to meet gathered requirements.
Take responsibility for leading the technical project, including such activities as technology advocacy, supporting bid responses, product and solution briefings, proof-of-concept work, and the coordination of supporting technical resources.
Work hands-on with Google Cloud Platform products to demonstrate and prototype integrations in customer/partner environments. Travel frequently around EMEA for meetings, technical reviews and onsite delivery activities.
Prepare and deliver product messaging in an effort to highlight Google Cloud Platform value proposition using techniques to include whiteboard and slide presentations, product demonstrations, white papers, trial management and RFI response documents.
Make recommendations on integration strategies, enterprise architectures, platforms and application infrastructure required to successfully implement a complete solution providing best practice advice to customers to optimize Google Cloud Platform effectiveness.","BA/BS degree in Computer Science or a related software engineering field, or equivalent practical experience.
Experience across cloud computing (infrastructure, storage, platforms and data), as well as cloud market, competitive dynamics and customer buying behavior.
Experience working with technologies in the Machine Learning/Big Data ecosystem.
Ability to speak and write in English fluently and idiomatically.","Master's degree in Computer Science or a related technical technical field.
Experience writing code for Machine Learning purposes. Experience with Big Data and Platform/Infrastructure-as-a-Service (PaaS/IaaS) technologies.
Ability to advise customers on how to collect data for a given problem, clean it, visualize it, extract features from it and choose the right type of learning algorithm.
Ability to explain and demystify relevant techniques to those who are new to Machine Learning, with the ability to advise customers on making tradeoffs.
Ability to quickly learn, understand, and work with new emerging technologies, methodologies, and solutions in the cloud technology space."
Google,"Software Engineering Manager, Cloud Storage, Site Reliability Engineering",Software Engineering,"Dublin, Ireland","Lead a team of software and systems engineers on cloud storage products used and enjoyed by users worldwide and be directly responsible for Google's stellar uptime record.
Manage end-to-end availability and performance of mission critical services and build automation to prevent problem recurrence. Eventually automate response to all non-exceptional service conditions.
Lead by example, care for your team, and establish credibility with the quality of your own and your team's technical execution.
Manage on-call rotations across continents, using a follow-the-sun model.
Design, write and deliver software to improve the availability, scalability, latency, and efficiency of Google's services.","BA/BS degree in Computer Science or related technical field, or equivalent practical experience
Experience in one or more of C, C++, Java, Go or Python
Experience working with cloud storage services.
Experience with Unix/Linux systems with scripting experience in Shell, Perl or Python.","Hands-on technical experience.
Capable of technical deep-dives into code, networking, operating systems and storage, yet verbally and cognitively agile enough to hold your own in a strategy discussion with Google's executive team.
Proficiency in algorithms, data structures, complexity analysis and software design and/or expertise in Unix/Linux systems, IP networking, performance and application issues.
Demonstrated expertise in recruiting and managing a team of enthusiastic, experienced engineers on large scale projects.
Expertise in problem solving and analyzing global scale distributed systems.
Effective management and communication skills."
Google,"Global Supply Chain Manager, Display/Touch, Consumer Hardware",Hardware Engineering,"Xinyi District, Taiwan","Develop and implement global supply chain strategies.
Manage suppliers to ensure material availability and readiness for the development builds and mass production.
Serve as the escalation point for all supplier related issues in mass production.
Understand component lead time and evaluate associated supply chain risks.","BA/BS in Electrical Engineering, Mechanical Engineering or related engineering field or equivalent practical experience.
3 years of experience in the technology industry in procurement or supply chain management or equivalent experience.","5 years of relevant work experience in global supply chain management within consumer electronics with knowledge of manufacturing and supply chain processes.
Demonstrated experience collaborating and working cross-functionally with engineering teams and product teams. Experience working and partnering with suppliers.
Experience managing overall ramp readiness with engineering, operations, and supplier teams.
Experience with commodities such as displays, touch and cover glass.
Excellent communication, sourcing, consultation and collaboration skills.
Ability to travel as needed."
Google,"Technical Program Manager, ASIC Development",Program Management,"Sunnyvale, CA, United States","Plan, coordinate, and deliver platforms hardware products.
Lead creating and maintaining credible and data-driven schedules and milestones.
Engage in technical and schedule tradeoff discussions.
Manage teams through design, development, test, manufacturing, deployment, and sustaining activities for hardware products.
Collaborate with engineering and operations teams to understand requirements and articulate the value proposition of engineering projects.","BS degree in Electrical Engineering, Computer Engineering, Computer Science, or related field or equivalent practical experience.
5 years of experience with ASIC development.
2 years of experience in a project management (or equivalent) role for the development of hardware or software systems in a cross-functional, cross-organizational context.","Master's or PhD degree in engineering.
Experience as an engineer developing hardware or software systems and experience with chip development.
Experience with ASIC methodologies, IP design, and leading tapeouts.
Track record of successful execution within resource and schedule constraints.
Ability to motivate and focus a large collaboration to reach challenging goals.
Outstanding communication and facilitation skills."
Google,"Quantitative Analyst, Ads Quality",Product & Customer Support,"Zürich, Switzerland","Apply advanced statistical methods and work with large, complex data sets.
Solve difficult, non-routine challenges, and clearly communicate highly technical results and methods.
Interact cross-functionally with a wide variety of people and teams.
Lead investigations into multiple streams of ads quality data.","PhD in Statistics or Econometrics or a related field, or equivalent practical experience.
Experience in the analysis and modeling of data.
Experience with R, Python, or MATLAB.","Relevant industry or research experience.
Familiarity with both classical and Bayesian inference.
Familiarity with experimental design principles.
Ability to draw conclusions from data and recommend actions.
Demonstrated willingness to both teach others and learn new techniques."
Google,"Software Engineer Manager, Tools and Infrastructure",Software Engineering,"London, United Kingdom","Build and manage an engineering productivity team focused on improving testability of the Google’s diverse project areas and platforms.
Create the next generation developer infrastructure for Google, focusing on developer experience, integration and scalability.
Define team strategy and roadmap, and drive adoption of test infrastructure across several product areas.
Manage the development of engineers on your teams through project and task assignment, individual coaching and identifying relevant training classes.
Provide knowledge in the application of Machine Learning to engineering productivity challenges, driving the creation of innovative tools with Google-wide impact.","BA/BS degree in Computer Science or other related field, or equivalent practical experience.
Experience in one or more of the following programming languages: Java, C++ and/or Python.
Experience in engineering in a technical lead and/or managerial capacity.","Master's degree or PhD in Computer Science, Artificial Intelligence, Machine Learning or related technical field.
Experience in technical leadership and people management (managing teams of developers).
Experience managing in a test-driven development environment, and dealing with code refactoring and code bottleneck issues.
Experience in front-end, web testing infrastructure, distributed systems and architecture.
Experience in building test automation frameworks and tools for scalable serving components."
Google,Head of Professional Services,Program Management,"London, United Kingdom","Set the standard for successful delivery and execution regarding customer engagements. Lead by example when it comes to making customers in your region successful.
Share best practices proactively with your counterparts in other regions. Emphasize shared success across your team and across regions.
Establish and maintain your team’s position as key strategic advisor to business executives and IT stakeholders for Google Cloud’s accounts, ensuring their business priorities are met using Google Cloud solutions.
Work with customer technical leads, client executives, and partners to manage and deliver successful migrations to Google Cloud solutions.
Build the capabilities of Google’s channel partners in your region by establishing Professional Services Organization (PSO)/partner go-to-market strategies, and by actively developing and sharing best practice recommendations gained during customer engagements.","BA/BS degree or equivalent practical experience.
Experience in creating and implementing public/hybrid cloud solution architectures or large-scale enterprise infrastructure migration plans.
Experience in managing, scaling and running a technical team using a data-driven approach. Experience in onboarding, mentoring and professionally contributing to the development of teammates.
Ability to travel, both domestically and internationally, up to 30% of the time as required.","Experience in application/workload migration with cloud-based enterprise solutions (e.g. AWS, Azure or Google Cloud Platform, etc).
Experience in working with channel partners, systems integrators, and third party developers to deliver successful solutions.
Demonstrated experience in account management, client service and/or management consulting
Demonstrated ability to present technical materials effectively to diverse stakeholder groups, and to engage effectively with senior executives of large enterprises on both technical and non-technical matters.
Ability to work effectively with a cross-functional and geographically dispersed team and customer base."
Google,"Survey Lead, Google Cloud Support",Product & Customer Support,"Sunnyvale, CA, United States","Develop and track core metrics across all Google Cloud products, including overall satisfaction, customer effort, net promoter score (NPS), partner satisfaction, etc.
Build and maintain reports, dashboards and metrics to monitor the performance of the program
Apply quantitative analysis, data mining and data presentation to provide meaningful business insights to stakeholders (with support from data scientists)
Provide insights that influence and drive actions/improvements across the customer journey
Demonstrate ability to manage risks at the operational level to ensure smooth execution of survey launches","BA/BS degree in a technical or quantitative/business-oriented field or equivalent practical experience.
5 years of experience in market research or survey analytics, working across multiple functional support and operational areas. Experience leading and delivering customer initiatives, including blending survey data with customer insights and measuring success using customer satisfaction metrics.
Experience writing SQL queries and working with statistical analysis in SPSS, R, Python and/or Tableau.
Experience with data analysis, principles of experiment design, survey design and analysis, clickstream analysis and qualitative research.","MBA, MS or PhD degree in a related or quantitative field.
Experience in a multi-channel client/customer support environment (e.g., email, phone, chat, social), and passion to drive collaboration and deliver executive-level presentations.
Capability to think strategically, balancing a broad range of internal and external factors when identifying problems, proposing solutions, and making decisions
Passion for technology and an ability to identify new opportunities, drive collaboration and deliver high-quality, complex projects across teams.
Demonstrated ability to build strong relationships at all levels as a cross-functional influencer.
Ability to consistently deliver quality outputs in a high paced and dynamic environment, work through ambiguity, with an ability to work to tight deadlines."
Google,"Technical Trainer Manager, Google Cloud",Program Management,"Sunnyvale, CA, United States","Manage a global team of Technical Trainers.
Grow the team to achieve staffing goals while ensuring high training standards are maintained.
Optimize the performance of the Training team by ensuring the team has access to the necessary resources, assets, networks and tools.
Ensure best training practices are shared across the global team.
Work cross-functionally with the Curriculum Development team to ensure an effective feedback loop is in place between instructors and that team. Optimize delivery schedules to ensure alignment with business goals.","7 years of experience in a Technical Training role.
5 years of experience in a management role.
Experience in managing team of Technical Trainers.","Experience with Cloud Infrastructure, Data and/or Machine Learning, with an understanding of Cloud technologies.
Experience working in a global team.
Comfort with working in a fast-growing, dynamic and ambiguous environment.
Effective interpersonal skills, with the ability to work in a cross-functional organization.
Travel internationally as required."
Google,"Partner Sales Engineer, Google Cloud",Technical Solutions,"München, Germany","Work with Partner Managers to identify and recruit partners in the market that can deliver innovative solutions to our customers, built on top of Google Cloud (Google Cloud Platform and G Suite).
Develop our partners’ technical teams with both sales and technical competencies, so that they can be successful in the market.
Keep partners up-to-date with product and technical knowledge and market differentiators.
Work with partner technical representatives in opportunities and projects, complementing their skill and guaranteeing high quality customer deliverables. Advise on integration strategies, enterprise architectures, platforms and application infrastructure required to successfully implement a complete solution providing “best practice” advice to customers and partners to optimize Google Cloud effectiveness.
Act as a technical advocate within Google for our partners in order to help provide feedback from the field, as well as to present on their behalf.","Bachelor's degree in Computer Science or a related technical field or equivalent practical experience.
Experience serving in the capacity of a technical sales engineer in a cloud computing environment, or equivalent experience in a customer and/or partner-facing role (including working as a member of a professional services, solutions architect or systems engineering team).
Ability to speak and write in English and a local language (German, Arabic, Italian, Polish, Romanian) fluently and idiomatically.
Ability to travel up to 40% of the time as required to visit partners across a defined geographic territory.","Experience in, and understanding of, data and information management, especially as it relates to big data trends and issues within businesses. Experience using and/or managing databases.
Experience working with Linux. Experience with software lifecycle and build tools as well as experience architecting and developing software for scalable, distributed systems.
Experience architecting and developing solutions for scalable, distributed systems.
Knowledge of enterprise networking and identity management systems. Knowledge of Big Data, PaaS, SaaS, IaaS, public cloud, and related industry and technical concepts, as well as working knowledge of web application development platforms and related technologies.
Ability to craft a compelling message and tailor it for a given audience. Ability to mix deep technical expertise with simple, everyday language to deliver a story that is memorable and useful.
Ability to quickly learn, understand, and work with new emerging technologies, methodologies, and solutions in the Cloud technology space."
Google,"Technical Solutions Engineer, Chrome and Android, Google Cloud",Technical Solutions,"Zürich, Switzerland","Obtain and maintain an in-depth understanding of Google's product technology, architecture and implementation. Cultivate and transfer knowledge to Google’s support groups.
Guide or perform design and implementation of new support, productivity or investigation tools in order to increase efficiency for the technical support process.
Act as a consultant and knowledge base for Product Managers, Sales Engineers, Technical Account Managers, and Deployment Specialists, resolving technical deployment obstacles, improving the product's vision and making Google customers successful.
Work closely with multiple Google Product Management and Software Engineering teams on understanding ways to improve the product. Interact with Quality Assurance (QA) teams to drive exceptional testing quality.
Diagnose and resolve complex customer problems for the Google Chrome product area in an engineering support function, as part of a global 24x7 global team.","Bachelor's degree in Computer Science, or a related technical field, or equivalent practical experience.
Experience in technical support, professional services, engineering, sustaining engineering, or systems engineering.
Ability to undergo additional background check clearance to work with Government clients.","Hands-on experience implementing, troubleshooting, and supporting Internet-based applications, web servers, mail servers (e.g. Exchange, Lotus, sendmail, or Postfix), and Linux/Unix operating systems. Experience with Identity Management or Directory Services (e.g. LDAP, AD, etc).
Experience with managing hosted services/SaaS. Familiarity with programming/scripting (i.e. one or more of Java, C, C++, .NET, Python, shell, Perl, JavaScript). Experience with various DBMS, data mining and analysis.
Demonstrated network administration and troubleshooting skills, with an understanding of Linux/Unix system administration. Understanding of Web and Mail-related standards, such as HTTP, HTML, XML, cookie-based SSO, and SMTP.
Demonstrated resourcefulness and attention to detail, with the ability to keep pace with rapid changes in enterprise products.
Effective communication skills, both written and verbal, along with outstanding troubleshooting, follow-through and problem-solving skills."
